SEF	1.0.0
ID	DWR_Arroyitos_Nq
Name	NEQUEN - Arroyitos
Lat	-39.0733
Lon	-68.565
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085585
Vbl	ta
Stat	point
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	10	1	11	17	0	0	orig.time=7am
1902	10	2	11	17	0	2	orig.time=7am
1902	10	3	11	17	0	0	orig.time=7am
1902	10	5	11	17	0	6	orig.time=7am
1902	10	7	11	17	0	0	orig.time=7am
1902	10	8	11	17	0	7	orig.time=7am
1902	10	9	11	17	0	7	orig.time=7am
1902	10	10	11	17	0	3	orig.time=7am
1902	10	11	11	17	0	4	orig.time=7am
1902	10	12	11	17	0	4	orig.time=7am
1902	10	13	11	17	0	4	orig.time=7am
1902	10	14	11	17	0	5	orig.time=7am
1902	10	15	11	17	0	5	orig.time=7am
1902	10	16	11	17	0	6	orig.time=7am
1902	10	17	11	17	0	5	orig.time=7am
1902	10	18	11	17	0	1	orig.time=7am
1902	10	19	11	17	0	-1	orig.time=7am
1902	10	20	11	17	0	5	orig.time=7am
1902	10	21	11	17	0	9	orig.time=7am
1902	10	22	11	17	0	8	orig.time=7am
1902	10	23	11	17	0	4	orig.time=7am
1902	10	24	11	17	0	4	orig.time=7am
1902	10	25	11	17	0	3	orig.time=7am
1902	10	26	11	17	0	4	orig.time=7am
1902	10	27	11	17	0	3	orig.time=7am
1902	10	28	11	17	0	2	orig.time=7am
1902	10	29	11	17	0	6	orig.time=7am
1902	10	30	11	17	0	4	orig.time=7am
1902	10	31	11	17	0	12	orig.time=7am
1902	11	1	11	17	0	4	orig.time=7am
1902	11	2	11	17	0	0	orig.time=7am
1902	11	3	11	17	0	8	orig.time=7am
1902	11	4	11	17	0	8	orig.time=7am
1902	11	5	11	17	0	5	orig.time=7am
1902	11	6	11	17	0	5	orig.time=7am
1902	11	7	11	17	0	4	orig.time=7am
1902	11	8	11	17	0	2	orig.time=7am
1902	11	9	11	17	0	7	orig.time=7am
1902	11	10	11	17	0	6	orig.time=7am
1902	11	11	11	17	0	4	orig.time=7am
1902	11	12	11	17	0	5	orig.time=7am
1902	11	13	11	17	0	5	orig.time=7am
1902	11	14	11	17	0	5	orig.time=7am
1902	11	15	11	17	0	9	orig.time=7am
1902	11	16	11	17	0	10	orig.time=7am
1902	11	17	11	17	0	5	orig.time=7am
1902	11	18	11	17	0	4	orig.time=7am
1902	11	19	11	17	0	9	orig.time=7am
1902	11	21	11	17	0	13	orig.time=7am
1902	11	27	11	17	0	8	orig.time=7am
1902	11	28	11	17	0	10	orig.time=7am
1902	11	29	11	17	0	10	orig.time=7am
1902	11	30	11	17	0	10	orig.time=7am
1902	12	1	11	17	0	11	orig.time=7am
1902	12	2	11	17	0	10	orig.time=7am
1902	12	4	11	17	0	12	orig.time=7am
1902	12	5	11	17	0	12	orig.time=7am
1902	12	6	11	17	0	14	orig.time=7am
1902	12	7	11	17	0	11	orig.time=7am
1902	12	9	11	17	0	14	orig.time=7am
1902	12	10	11	17	0	16	orig.time=7am
1902	12	11	11	17	0	19	orig.time=7am
1902	12	12	11	17	0	14	orig.time=7am
1902	12	13	11	17	0	11	orig.time=7am
1902	12	14	11	17	0	14	orig.time=7am
1902	12	15	11	17	0	17	orig.time=7am
1902	12	16	11	17	0	17	orig.time=7am
1902	12	17	11	17	0	16	orig.time=7am
1902	12	18	11	17	0	19	orig.time=7am
1902	12	19	11	17	0	22	orig.time=7am
1902	12	20	11	17	0	19	orig.time=7am
1902	12	21	11	17	0	23	orig.time=7am
1902	12	22	11	17	0	22	orig.time=7am
1902	12	23	11	17	0	18	orig.time=7am
1902	12	26	11	17	0	17	orig.time=7am
1902	12	27	11	17	0	15	orig.time=7am
1902	12	28	11	17	0	18	orig.time=7am
1902	12	29	11	17	0	17	orig.time=7am
1902	12	30	11	17	0	17	orig.time=7am
1902	12	31	11	17	0	21	orig.time=7am
