SEF	0.2.0
ID	DWR_Chubut-Mdryn
Name	CHUBUT-Madryn
Lat	-42.77151
Lon	-65.04027
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085156
Vbl	Tn
Stat	minimum
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	day	9	orig.time=2pm
1902	2	22	18	17	day	16	orig.time=2pm
1902	2	23	18	17	day	13	orig.time=2pm
1902	2	24	18	17	day	15	orig.time=2pm
1902	2	25	18	17	day	10	orig.time=2pm
1902	2	26	18	17	day	11	orig.time=2pm
1902	2	27	18	17	day	11	orig.time=2pm
1902	2	28	18	17	day	10	orig.time=2pm
1902	3	1	18	17	day	3	orig.time=2pm
1902	3	2	18	17	day	12	orig.time=2pm
1902	3	3	18	17	day	12	orig.time=2pm
1902	3	4	18	17	day	14	orig.time=2pm
1902	3	5	18	17	day	7	orig.time=2pm
1902	3	6	18	17	day	8	orig.time=2pm
1902	3	7	18	17	day	8	orig.time=2pm
1902	3	8	18	17	day	12	orig.time=2pm
1902	3	9	18	17	day	9	orig.time=2pm
1902	3	10	18	17	day	10	orig.time=2pm
1902	3	12	18	17	day	13	orig.time=2pm
1902	3	13	18	17	day	11	orig.time=2pm
1902	3	14	18	17	day	8	orig.time=2pm
1902	3	15	18	17	day	10	orig.time=2pm
1902	3	16	18	17	day	13	orig.time=2pm
1902	3	19	18	17	day	12	orig.time=2pm
1902	3	21	18	17	day	12	orig.time=2pm
1902	3	22	18	17	day	12	orig.time=2pm
1902	3	23	18	17	day	13	orig.time=2pm
1902	3	24	18	17	day	11	orig.time=2pm
1902	3	25	18	17	day	9	orig.time=2pm
1902	3	26	18	17	day	5	orig.time=2pm
1902	3	27	18	17	day	7	orig.time=2pm
1902	3	30	18	17	day	6	orig.time=2pm
1902	3	31	18	17	day	9	orig.time=2pm
1902	4	2	18	17	day	7	orig.time=2pm
1902	4	3	18	17	day	7	orig.time=2pm
1902	4	4	18	17	day	3	orig.time=2pm
1902	4	5	18	17	day	9	orig.time=2pm
1902	4	6	18	17	day	9	orig.time=2pm
1902	4	7	18	17	day	9	orig.time=2pm
1902	4	8	18	17	day	5	orig.time=2pm
1902	4	9	18	17	day	5	orig.time=2pm
1902	4	10	18	17	day	3	orig.time=2pm
1902	4	12	18	17	day	7	orig.time=2pm
1902	4	13	18	17	day	9	orig.time=2pm
1902	4	14	18	17	day	9	orig.time=2pm
1902	4	16	18	17	day	6	orig.time=2pm
1902	4	19	18	17	day	14	orig.time=2pm
1902	4	20	18	17	day	13	orig.time=2pm
1902	4	24	18	17	day	15	orig.time=2pm
1902	4	26	18	17	day	8	orig.time=2pm
1902	4	27	18	17	day	8	orig.time=2pm
1902	4	29	18	17	day	8	orig.time=2pm
1902	5	3	18	17	day	14	orig.time=2pm
1902	5	4	18	17	day	6	orig.time=2pm
