SEF	0.0.1
ID	DWR_Ceres
Name	Ceres
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	9	2	1117	0	24	
1902	9	4	1117	0	12	
1902	9	5	1117	0	19	
1902	9	6	1117	0	20	
1902	9	7	1117	0	18	
1902	9	10	1117	0	14	
1902	9	11	1117	0	12	
1902	9	12	1117	0	13	
1902	9	13	1117	0	13	
1902	9	14	1117	0	15	
1902	9	15	1117	0	13	
1902	9	16	1117	0	14	
1902	9	17	1117	0	17	
1902	9	18	1117	0	24	
1902	9	20	1117	0	11	
1902	9	21	1117	0	9	
1902	9	22	1117	0	7	
1902	9	23	1117	0	10	
1902	9	24	1117	0	11	
1902	9	25	1117	0	5	
1902	9	26	1117	0	7	
1902	9	27	1117	0	12	
1902	9	28	1117	0	16	
1902	9	29	1117	0	11	
1902	9	30	1117	0	13	
1902	10	1	1117	0	7	
1902	10	2	1117	0	7	
1902	10	3	1117	0	9	
1902	10	7	1117	0	13	
1902	10	8	1117	0	8	
1902	10	9	1117	0	12	
1902	10	10	1117	0	16	
1902	10	11	1117	0	11	
1902	10	12	1117	0	10	
1902	10	13	1117	0	11	
1902	10	14	1117	0	15	
1902	10	15	1117	0	17	
1902	10	16	1117	0	18	
1902	10	17	1117	0	19	
1902	10	18	1117	0	21	
1902	10	19	1117	0	25	
1902	10	20	1117	0	20	
1902	10	22	1117	0	23	
1902	10	23	1117	0	22	
1902	10	24	1117	0	27	
1902	10	25	1117	0	15	
1902	10	26	1117	0	20	
1902	10	27	1117	0	14	
1902	10	29	1117	0	20	
1902	10	30	1117	0	19	
1902	10	31	1117	0	18	
1902	11	1	1117	0	21	
1902	11	2	1117	0	16	
1902	11	3	1117	0	19	
1902	11	4	1117	0	18	
1902	11	5	1117	0	25	
1902	11	6	1117	0	24	
1902	11	7	1117	0	26	
1902	11	8	1117	0	17	
1902	11	10	1117	0	14	
1902	11	12	1117	0	20	
1902	11	13	1117	0	22	
1902	11	14	1117	0	20	
1902	11	15	1117	0	17	
1902	11	16	1117	0	19	
1902	11	17	1117	0	19	
1902	11	18	1117	0	22	
1902	11	19	1117	0	19	
1902	11	20	1117	0	22	
1902	11	21	1117	0	23	
1902	11	23	1117	0	19	
1902	11	24	1117	0	19	
1902	11	25	1117	0	25	
1902	11	26	1117	0	14	
1902	12	7	1117	0	18	
1902	12	9	1117	0	20	
1902	12	10	1117	0	22	
1902	12	11	1117	0	21	
1902	12	12	1117	0	25	
1902	12	13	1117	0	15	
1902	12	14	1117	0	17	
1902	12	15	1117	0	18	
1902	12	17	1117	0	24	
1902	12	18	1117	0	25	
1902	12	19	1117	0	23	
1902	12	20	1117	0	28	
1902	12	21	1117	0	25	
1902	12	22	1117	0	28	
1902	12	23	1117	0	27	
1902	12	24	1117	0	30	
1902	12	25	1117	0	18	
1902	12	26	1117	0	22	
1902	12	27	1117	0	26	
1902	12	28	1117	0	25	
1902	12	29	1117	0	22	
1902	12	30	1117	0	19	
1902	12	31	1117	0	16	
