SEF	0.0.1
ID	DWR_General_Vill
Name	General Villegas
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	12	1	1117	0	23	
1902	12	2	1117	0	23	
1902	12	3	1117	0	19	
1902	12	4	1117	0	20	
1902	12	5	1117	0	23	
1902	12	6	1117	0	24	
1902	12	7	1117	0	16	
1902	12	8	1117	0	21	
1902	12	9	1117	0	17	
1902	12	10	1117	0	18	
1902	12	11	1117	0	24	
1902	12	12	1117	0	19	
1902	12	13	1117	0	16	
1902	12	14	1117	0	16	
1902	12	15	1117	0	19	
1902	12	16	1117	0	19	
1902	12	17	1117	0	24	
1902	12	18	1117	0	27	
1902	12	19	1117	0	21	
1902	12	20	1117	0	23	
1902	12	21	1117	0	22	
1902	12	22	1117	0	26	
1902	12	23	1117	0	21	
1902	12	26	1117	0	22	
1902	12	27	1117	0	18	
1902	12	28	1117	0	18	
1902	12	29	1117	0	18	
1902	12	30	1117	0	13	
1902	12	31	1117	0	16	
