SEF	0.0.1
ID	DWR_Concepcion-M
Name	Concepcion-MISSIONES
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	7	17	1817	0	10	
1902	7	18	1817	0	12	
1902	7	19	1817	0	18	
1902	7	20	1817	0	22	
1902	7	24	1817	0	13	
1902	7	25	1817	0	15	
1902	7	26	1817	0	15	
1902	7	27	1817	0	11	
1902	7	28	1817	0	11	
1902	7	29	1817	0	13	
1902	7	30	1817	0	19	
1902	7	31	1817	0	24	
1902	8	1	1817	0	26	
1902	8	2	1817	0	11	
1902	8	3	1817	0	16	
1902	8	4	1817	0	15	
1902	8	5	1817	0	12	
1902	8	6	1817	0	17	
1902	8	8	1817	0	24	
1902	8	11	1817	0	12	
1902	8	12	1817	0	13	
1902	8	13	1817	0	17	
1902	8	14	1817	0	18	
1902	8	15	1817	0	19	
1902	8	16	1817	0	15	
1902	8	17	1817	0	23	
1902	8	18	1817	0	22	
1902	8	19	1817	0	19	
1902	8	21	1817	0	14	
1902	8	22	1817	0	13	
1902	8	23	1817	0	13	
1902	8	24	1817	0	6	
1902	8	25	1817	0	7	
1902	8	26	1817	0	13	
1902	8	27	1817	0	15	
1902	8	28	1817	0	18	
1902	8	29	1817	0	14	
1902	8	30	1817	0	8	
1902	8	31	1817	0	7	
1902	9	2	1117	0	11	
1902	9	3	1117	0	14	
1902	9	4	1117	0	14	
1902	9	5	1117	0	11	
1902	9	6	1117	0	9	
1902	9	7	1117	0	13	
1902	9	10	1117	0	10	
1902	9	11	1117	0	9	
1902	9	12	1117	0	7	
1902	9	13	1117	0	11	
1902	9	14	1117	0	14	
1902	9	15	1117	0	20	
1902	9	16	1117	0	20	
1902	9	17	1117	0	21	
1902	9	18	1117	0	21	
1902	9	24	1117	0	23	
1902	9	25	1117	0	20	
1902	9	26	1117	0	20	
1902	9	27	1117	0	23	
1902	9	28	1117	0	23	
1902	9	29	1117	0	19	
1902	9	30	1117	0	21	
1902	10	1	1117	0	20	
1902	10	2	1117	0	19	
1902	10	5	1117	0	25	
1902	10	7	1117	0	22	
1902	10	8	1117	0	26	
1902	10	9	1117	0	28	
1902	10	11	1117	0	17	
1902	10	12	1117	0	16	
1902	10	13	1117	0	21	
1902	10	14	1117	0	18	
1902	10	15	1117	0	22	
1902	10	17	1117	0	20	
1902	10	18	1117	0	19	
1902	10	19	1117	0	20	
1902	10	20	1117	0	24	
1902	10	21	1117	0	20	
1902	10	22	1117	0	22	
1902	10	23	1117	0	21	
1902	10	24	1117	0	22	
1902	10	25	1117	0	22	
1902	10	26	1117	0	22	
1902	10	27	1117	0	25	
1902	10	28	1117	0	14	
1902	10	29	1117	0	16	
1902	10	30	1117	0	19	
1902	10	31	1117	0	19	
1902	11	1	1117	0	19	
1902	11	2	1117	0	19	
1902	11	3	1117	0	19	
1902	11	4	1117	0	22	
1902	11	5	1117	0	21	
1902	11	6	1117	0	21	
1902	11	7	1117	0	20	
1902	11	8	1117	0	22	
1902	11	9	1117	0	24	
1902	11	10	1117	0	23	
1902	11	11	1117	0	22	
1902	11	12	1117	0	25	
1902	11	14	1117	0	21	
1902	11	15	1117	0	23	
1902	11	16	1117	0	23	
1902	11	17	1117	0	24	
1902	11	18	1117	0	25	
1902	11	19	1117	0	25	
1902	11	20	1117	0	25	
1902	11	21	1117	0	26	
1902	11	22	1117	0	28	
1902	11	23	1117	0	29	
1902	11	24	1117	0	28	
1902	11	26	1117	0	24	
1902	11	27	1117	0	25	
1902	11	28	1117	0	22	
1902	11	29	1117	0	24	
1902	11	30	1117	0	18	
