SEF	0.0.1
ID	DWR_Neuquen
Name	Neuquen
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	n
Units	%
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	10	26	1117	0	33	Orig=1
1902	10	27	1117	0	33	Orig=1
1902	10	28	1117	0	33	Orig=1
1902	10	29	1117	0	67	Orig=2
1902	10	30	1117	0	0	Orig=0
1902	10	31	1117	0	0	Orig=0
1902	11	1	1117	0	33	Orig=1
1902	11	2	1117	0	0	Orig=0
1902	11	3	1117	0	33	Orig=1
1902	11	4	1117	0	33	Orig=1
1902	11	5	1117	0	67	Orig=2
1902	11	6	1117	0	33	Orig=1
1902	11	7	1117	0	100	Orig=3
1902	11	8	1117	0	67	Orig=2
1902	11	9	1117	0	33	Orig=1
1902	11	10	1117	0	0	Orig=0
1902	11	11	1117	0	67	Orig=2
1902	11	12	1117	0	33	Orig=1
1902	11	13	1117	0	0	Orig=0
1902	11	14	1117	0	67	Orig=2
1902	11	15	1117	0	33	Orig=1
1902	11	16	1117	0	0	Orig=0
1902	11	17	1117	0	33	Orig=1
1902	11	18	1117	0	67	Orig=2
1902	11	19	1117	0	0	Orig=0
1902	11	20	1117	0	33	Orig=1
1902	11	21	1117	0	33	Orig=1
1902	11	22	1117	0	33	Orig=1
1902	11	24	1117	0	33	Orig=1
1902	11	25	1117	0	67	Orig=2
1902	11	26	1117	0	0	Orig=0
1902	11	27	1117	0	0	Orig=0
1902	11	28	1117	0	33	Orig=1
1902	11	29	1117	0	33	Orig=1
1902	11	30	1117	0	67	Orig=2
1902	12	3	1117	0	67	Orig=2
1902	12	4	1117	0	33	Orig=1
1902	12	5	1117	0	0	Orig=0
1902	12	6	1117	0	67	Orig=2
1902	12	7	1117	0	33	Orig=1
1902	12	8	1117	0	67	Orig=2
1902	12	9	1117	0	33	Orig=1
1902	12	10	1117	0	0	Orig=0
1902	12	12	1117	0	33	Orig=1
1902	12	13	1117	0	0	Orig=0
1902	12	14	1117	0	0	Orig=0
1902	12	15	1117	0	33	Orig=1
1902	12	16	1117	0	33	Orig=1
1902	12	17	1117	0	33	Orig=1
1902	12	18	1117	0	0	Orig=0
1902	12	19	1117	0	0	Orig=0
1902	12	20	1117	0	33	Orig=1
1902	12	21	1117	0	0	Orig=0
1902	12	22	1117	0	67	Orig=2
1902	12	23	1117	0	0	Orig=0
1902	12	26	1117	0	0	Orig=0
1902	12	27	1117	0	0	Orig=0
1902	12	28	1117	0	0	Orig=0
1902	12	29	1117	0	0	Orig=0
1902	12	30	1117	0	67	Orig=2
1902	12	31	1117	0	33	Orig=1
