SEF	0.2.0
ID	DWR_Neuquen
Name	Neuquen
Lat	-38.9517
Lon	-68.0592
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/
Vbl	n
Stat	point
Units	%
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	10	26	11	17	0	33	Orig=1|orig.time=7am
1902	10	27	11	17	0	33	Orig=1|orig.time=7am
1902	10	28	11	17	0	33	Orig=1|orig.time=7am
1902	10	29	11	17	0	67	Orig=2|orig.time=7am
1902	10	30	11	17	0	0	Orig=0|orig.time=7am
1902	10	31	11	17	0	0	Orig=0|orig.time=7am
1902	11	1	11	17	0	33	Orig=1|orig.time=7am
1902	11	2	11	17	0	0	Orig=0|orig.time=7am
1902	11	3	11	17	0	33	Orig=1|orig.time=7am
1902	11	4	11	17	0	33	Orig=1|orig.time=7am
1902	11	5	11	17	0	67	Orig=2|orig.time=7am
1902	11	6	11	17	0	33	Orig=1|orig.time=7am
1902	11	7	11	17	0	100	Orig=3|orig.time=7am
1902	11	8	11	17	0	67	Orig=2|orig.time=7am
1902	11	9	11	17	0	33	Orig=1|orig.time=7am
1902	11	10	11	17	0	0	Orig=0|orig.time=7am
1902	11	11	11	17	0	67	Orig=2|orig.time=7am
1902	11	12	11	17	0	33	Orig=1|orig.time=7am
1902	11	13	11	17	0	0	Orig=0|orig.time=7am
1902	11	14	11	17	0	67	Orig=2|orig.time=7am
1902	11	15	11	17	0	33	Orig=1|orig.time=7am
1902	11	16	11	17	0	0	Orig=0|orig.time=7am
1902	11	17	11	17	0	33	Orig=1|orig.time=7am
1902	11	18	11	17	0	67	Orig=2|orig.time=7am
1902	11	19	11	17	0	0	Orig=0|orig.time=7am
1902	11	20	11	17	0	33	Orig=1|orig.time=7am
1902	11	21	11	17	0	33	Orig=1|orig.time=7am
1902	11	22	11	17	0	33	Orig=1|orig.time=7am
1902	11	24	11	17	0	33	Orig=1|orig.time=7am
1902	11	25	11	17	0	67	Orig=2|orig.time=7am
1902	11	26	11	17	0	0	Orig=0|orig.time=7am
1902	11	27	11	17	0	0	Orig=0|orig.time=7am
1902	11	28	11	17	0	33	Orig=1|orig.time=7am
1902	11	29	11	17	0	33	Orig=1|orig.time=7am
1902	11	30	11	17	0	67	Orig=2|orig.time=7am
1902	12	3	11	17	0	67	Orig=2|orig.time=7am
1902	12	4	11	17	0	33	Orig=1|orig.time=7am
1902	12	5	11	17	0	0	Orig=0|orig.time=7am
1902	12	6	11	17	0	67	Orig=2|orig.time=7am
1902	12	7	11	17	0	33	Orig=1|orig.time=7am
1902	12	8	11	17	0	67	Orig=2|orig.time=7am
1902	12	9	11	17	0	33	Orig=1|orig.time=7am
1902	12	10	11	17	0	0	Orig=0|orig.time=7am
1902	12	12	11	17	0	33	Orig=1|orig.time=7am
1902	12	13	11	17	0	0	Orig=0|orig.time=7am
1902	12	14	11	17	0	0	Orig=0|orig.time=7am
1902	12	15	11	17	0	33	Orig=1|orig.time=7am
1902	12	16	11	17	0	33	Orig=1|orig.time=7am
1902	12	17	11	17	0	33	Orig=1|orig.time=7am
1902	12	18	11	17	0	0	Orig=0|orig.time=7am
1902	12	19	11	17	0	0	Orig=0|orig.time=7am
1902	12	20	11	17	0	33	Orig=1|orig.time=7am
1902	12	21	11	17	0	0	Orig=0|orig.time=7am
1902	12	22	11	17	0	67	Orig=2|orig.time=7am
1902	12	23	11	17	0	0	Orig=0|orig.time=7am
1902	12	26	11	17	0	0	Orig=0|orig.time=7am
1902	12	27	11	17	0	0	Orig=0|orig.time=7am
1902	12	28	11	17	0	0	Orig=0|orig.time=7am
1902	12	29	11	17	0	0	Orig=0|orig.time=7am
1902	12	30	11	17	0	67	Orig=2|orig.time=7am
1902	12	31	11	17	0	33	Orig=1|orig.time=7am
